Title,Author,Description,Article_Link,Cited_by,All_versions,Related_articles_Link
Consumer Purchase Behaviour of Sports Compression Garments–A study of Generation Y and Baby Boomer Cohorts,"M Rahulan, O Troynikov, C Watson, M Janta… - Procedia …, 2013 - Elsevier",The growing trend to live a healthier lifestyle and increase quality of life is important for sportswear marketers worldwide. This study applied generational cohort theory to compare the consumer purchase behaviour of Generation Y and Baby Boomer cohorts with regard to …,https://www.sciencedirect.com/science/article/pii/S1877705813011065,21,7,"https://scholar.google.com/scholar?q=related:EK_WuUYRWfwJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"Recruit, respect, and retain: The impact of baby boomer nurses on hospital workforce strategy-A case study","SH Klug - Creative Nursing, 2009 - search.proquest.com",Hospitals are increasingly concerned about shortages of registered nurses due to the impending retirement of Baby Boomer nurses. A hospital case study of older nurse retention investigated the concerns of Boomer nurses to understand how workforce strategies can …,http://search.proquest.com/openview/9340c1dffa3ceedbabbb425d85e2da4b/1?pq-origsite=gscholar&cbl=30045,18,7,"https://scholar.google.com/scholar?q=related:UtauxzjNV3MJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Serving the “Boomer” generation and beyond,"SA Long - New Library World, 2005 - emeraldinsight.com","Purpose–To focus on the importance of providing appropriate and specialized services for the senior population. Design/methodology/approach–Body of knowledge compiled by author from current news, professional sources and personal topical files. Findings …",https://www.emeraldinsight.com/doi/full/10.1108/03074800510608684,10,5,"https://scholar.google.com/scholar?q=related:v8oBvkYqGOcJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Business and aging: The boomer effect on consumers and marketing,"JI Wassel - Handbook of sociology of aging, 2011 - Springer",This chapter provides a foundation for understanding businesses' emerging interest in the older adult as a consumer and introduces the silver market phenomenon dedicated to the mature market. We present the influence of consumerism on the life courses of American …,https://link.springer.com/chapter/10.1007/978-1-4419-7374-0_22,14,4,"https://scholar.google.com/scholar?q=related:ky49d_e4330J:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[PDF][PDF] Knowledge transfer in a municipality study on baby boomer exodus from the workforce,"I Cummings-White, IS Diala - International Journal of …, 2013 - pdfs.semanticscholar.org","A substantial number of Baby Boomers are entering retirement and will impact both public and private sector organizations. To address this upcoming challenge, organizations must establish mechanisms to identify, capture, and transfer Boomer knowledge. This qualitative …",https://pdfs.semanticscholar.org/51c9/30842eea583019876fcca35bd46f4c7e9d6b.pdf,15,,"https://scholar.google.com/scholar?q=related:qe2o1m0AjuEJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Baby boomers mature and gerontological counseling comes of age,"MF Maples, PC Abney - Journal of Counseling & Development, 2006 - Wiley Online Library","Gerontological counseling is the wave of the profession's future. With the majority of 76 million baby boomers beginning to turn 60 years old in 2006, there will be a great need for preretirement to end‐of‐life counselors. This article focuses on (a) the varied influences of …",https://onlinelibrary.wiley.com/doi/abs/10.1002/j.1556-6678.2006.tb00374.x,108,5,"https://scholar.google.com/scholar?q=related:bRbgryut6E8J:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"Generation X, baby boomers, and swing: Marketing fair trade apparel","MA Littrell, Y Jin Ma, J Halepete - Journal of Fashion Marketing …, 2005 - emeraldinsight.com","Purpose–This study focused on two research questions: How do generational cohorts of fair trade consumers differ in their product attitudes and behaviors, retail preferences, shopping orientations, and socio-political attitudes? How do factors influencing purchase intentions for …",https://www.emeraldinsight.com/doi/abs/10.1108/13612020510620786,140,3,"https://scholar.google.com/scholar?q=related:u7MQhRJqpVMJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"Is the Australian domestic holiday a thing of the past? Understanding baby boomer, Generation X and Generation Y perceptions and attitude to domestic and …","S Gardiner, D Grace, C King - Journal of Vacation Marketing, 2015 - journals.sagepub.com","This study adopts a generational perspective to understand the shift in domestic and international travel motivations of Australians. In consideration of the largest and most dominant travel consumers at present, the Baby Boomer, Generation X and Generation Y …",https://journals.sagepub.com/doi/abs/10.1177/1356766715580188,29,4,"https://scholar.google.com/scholar?q=related:yUxBCeDkeLgJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Technology needs of aging boomers,"JF Coughlin - Issues in science and technology, 1999 - JSTOR","It happens every seven seconds: Another baby boomer turns 50 years old. As they have done in other facets of American life, the 75 million people born between 1946 and 1964 are about to per-manently change society again. The sheer number of people that will be living …",https://www.jstor.org/stable/43311981,92,6,"https://scholar.google.com/scholar?q=related:ixFPJUhjIC8J:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
News from somewhere: The poetics of Baby Boomer and Generation Y music consumers in tracking a retail revolution,"C McIntyre - Journal of Retailing and Consumer Services, 2011 - Elsevier","A revolution in music consumption has taken place in recent years, from communally buying tangible products within local shops to individually downloading music over the global internet. Aspects of this change are investigated by comparing narratives from two age …",https://www.sciencedirect.com/science/article/pii/S0969698910001232,21,5,"https://scholar.google.com/scholar?q=related:vsqIVgIDascJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Australian baby boomers' expectations and plans for their old age,"S Quine, S Carter - Australasian Journal on Ageing, 2006 - Wiley Online Library","The ageing of Australia's 5.5 million baby boomers (born 1946–1965) will significantly change Australian society, yet it is unclear what is known about the expectations and plans of this cohort for their retirement and old age. This paper provides a first step by reviewing …",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1741-6612.2006.00147.x,140,3,"https://scholar.google.com/scholar?q=related:s1AW7nACOM8J:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Generational differences: Let's not throw the baby boomer out with the bathwater,"EL Perry, FD Golom, JA McCarthy - Industrial and Organizational …, 2015 - cambridge.org","Although we agree with Costanza and Finkelstein (2015) that current research has failed to find consistent evidence of actual generational differences and that this research is limited methodologically, we suggest that at least some of these limitations could and should be …",https://www.cambridge.org/core/journals/industrial-and-organizational-psychology/article/generational-differences-lets-not-throw-the-baby-boomer-out-with-the-bathwater/6211131920D84A35C2B627D0F3D8801B,18,8,"https://scholar.google.com/scholar?q=related:g87w5L2qewsJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Today's dental student is training for tomorrow's elderly baby boomer,"SJ Lee, LP Nelson, J Lin, F Tom… - Special Care in …, 2001 - Wiley Online Library",We are constantly reminded of the exploding elderly population and the increasing demand to meet their needs. But do we fully understand and appreciate the impact that this fastest‐growing segment of the population will have upon our profession? Whether we realize it or …,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1754-4505.2001.tb00233.x,12,4,"https://scholar.google.com/scholar?q=related:VBoVlX4aECcJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[BOOK][B] Boomer Bust? Economic and Political Issues of the Graying Society [2 volumes]: Economic and Political Issues of the Graying Society,RB Hudson - 2008 - books.google.com,"Seventy-six million Baby Boomers are careening toward retirement in the United States. Demographic shifts toward aging populations are taking place around the Western world, as a variety of factors—biological, technological, medical, and sociocultural—are extending life …",https://books.google.com/books?hl=en&lr=&id=hKNzCgAAQBAJ&oi=fnd&pg=PR5&dq=boomer&ots=YUlHALsFVj&sig=vaVaRAg5ebchz7xrGS7dZrb2fts,18,2,"https://scholar.google.com/scholar?q=related:M9QMRCyhoDIJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Age differences in mobile service perceptions: comparison of Generation Y and baby boomers,"A Kumar, H Lim - Journal of services marketing, 2008 - emeraldinsight.com","Purpose–This study aims to investigate the effects of age on mobile service quality perceptions and its impact on perceived value, satisfaction and loyalty between two significant mobile service user segments–Generation Y and baby boomers …",https://www.emeraldinsight.com/doi/abs/10.1108/08876040810909695,333,6,"https://scholar.google.com/scholar?q=related:8U-0x-luO3kJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[PDF][PDF] Baby boomer travel market is on the increase,"I Patterson - Journal of Tourism and Hospitality, 2012 - researchgate.net","On a global scale, business operators are becoming increasingly aware of the significant impact that baby boomers (born between 1946 and 1964) are having on the tourism industry [1]. In fact, this growing segment of this population is already starting to exert its significant …",https://www.researchgate.net/profile/Ian_Patterson2/publication/309101086_Baby_Boomer_Travel_Market_is_on_the_Increase/links/58bd5a0492851c471d59cf91/Baby-Boomer-Travel-Market-is-on-the-Increase.pdf,11,,"https://scholar.google.com/scholar?q=related:yWj0uo-M8O0J:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[BOOK][B] The baby boomer encyclopedia,M Gitlin - 2011 - books.google.com,"Comprising some 80 million Americans born between 1946 and 1965, the Baby Boomers have significantly changed every aspect of American history and culture. The members of this generation experienced some of the most tumultuous times in American history; indeed …",https://books.google.com/books?hl=en&lr=&id=GiMeNY6trLIC&oi=fnd&pg=PP1&dq=boomer&ots=R3ELrFK95p&sig=jn9qLHObCIjZP8D0avcCaJ3T-6M,10,2,"https://scholar.google.com/scholar?q=related:zpfZTIFOhycJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Baby Boomer und Generation X–Charakteristika der etablierten Arbeitnehmer-Generationen,"J Oertel - Generationen-Management, 2014 - Springer",Zusammenfassung Im Fokus dieses Beitrags steht die Charakterisierung der beiden im deutschen Arbeitsleben etablierten Generationen der Baby Boomer (Geburtsjahrgänge ca. ab 1956 bis 1965) und der Generation X (Geburtsjahrgänge ca. ab 1965 bis 1980). Diese …,https://link.springer.com/chapter/10.1007/978-3-658-02325-6_2,60,2,"https://scholar.google.com/scholar?q=related:jdhmGaTc7HMJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Leadership style: The X Generation and Baby Boomers compared in different cultural contexts,"HC Yu, P Miller - Leadership & Organization Development …, 2005 - emeraldinsight.com",Purpose–Western researchers have concluded that generational groups of workers have different work characteristics and prefer different leadership styles. This paper investigates whether Western research applies equally to generational groups in Taiwan's workplaces …,https://www.emeraldinsight.com/doi/abs/10.1108/01437730510575570,321,13,"https://scholar.google.com/scholar?q=related:_9DHTZn8VgUJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
YOUNG BABY BOOMERS'WEALTH,"JL Zagorsky - Review of Income and Wealth, 1999 - Wiley Online Library","Researchers know relatively little about the beginnings of wealth accumulation. This paper analyzes the wealth of young baby boomers, individuals born from 1957 to 1964, using a previously ignored wealth data set, the National Longitudinal Survey of Youth 1979 …",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1475-4991.1999.tb00325.x,72,4,"https://scholar.google.com/scholar?q=related:mh56vfLsHpEJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"Baby Boomers, Generation X and Generation Y? Policy implications for defence forces in the modern era","B Jorgensen - foresight, 2003 - emeraldinsight.com","In recent years there has been discussion in the management and organisational literature on generational differences and how they may impact on the design of workforce strategies. However, much of the discussion appears to be based on observation rather than large …",https://www.emeraldinsight.com/doi/abs/10.1108/14636680310494753,296,4,"https://scholar.google.com/scholar?q=related:ZomhJ9Y1hKQJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Prostate cancer in the Baby Boomer generation: results from CaPSURE,"CD Scales Jr, JW Moul, LH Curtis, EP Elkin… - Urology, 2007 - Elsevier","Objectives Baby Boomers (those born in 1946 to 1964) are thought to place a high value on quality of life, and have a higher propensity to consume healthcare services than previous generations. We sought to characterize prostate cancer (CaP) presentation among this …",https://www.sciencedirect.com/science/article/pii/S0090429507019826,12,7,"https://scholar.google.com/scholar?q=related:LPQZ9A2NWysJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"[CITATION][C] David L. Payne, the Oklahoma Boomer",S Hoig - 1980 - Western Heritage Books,,,6,,"https://scholar.google.com/scholar?q=related:kwHWCmt4NBEJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Dynamic succession planning: Overcoming the baby boomer retirement crisis.,"K Reester Jr - Journal of Public Works & Infrastructure, 2008 - search.ebscohost.com","Both public and private organisations are suffering from the significant number of'baby boomers' retiring from the workforce. In terms of the pure numbers of individuals needed to fill the vacancies created by these impending retirements, the shortfall of workers in the USA …",http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=17550955&AN=38607063&h=Q7W00D4%2FNPwEVc7m%2BwPq8KY2%2B3vd2sVuz5VSXCIdSGH%2BrOU9WT42vNZWAQsPjk2%2FHyCqywiFtX8sBcq7QmyPMA%3D%3D&crl=c,11,,"https://scholar.google.com/scholar?q=related:hEmTTBCr-wQJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Boomer or load binder,"GE Williams - US Patent 2,089,679, 1937 - Google Patents","The present invention involves an improved pulling or tightening tool of the class known in the commercial art to which the invention par ticularly relates, as a boomer or load binder. 5 These tools are quite generally used for the secur ing of heavy loads such as logs, pipes, or …",https://patents.google.com/patent/US2089679A/en,7,2,"https://scholar.google.com/scholar?q=related:u-j8FxrdDuMJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[PDF][PDF] Nursing leadership characteristics: Effect on nursing job satisfaction and retention of Baby Boomer and Generation X nurses,S Swearingen - 2004 - stars.library.ucf.edu,The purpose of this research is to determine the degree to which nursing staffs that have a positive experience with nursing leadership are more likely to demonstrate job satisfaction. The different values and norms of the generational cohorts result in each cohort perceiving …,https://stars.library.ucf.edu/cgi/viewcontent.cgi?referer=&httpsredir=1&article=1245&context=etd,18,5,"https://scholar.google.com/scholar?q=related:uXOC8GrCJC4J:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[BOOK][B] Generations apart: Xers and boomers in the officer corps,L Wong - 2000 - books.google.com,This monograph addresses the junior officer attrition problem by identifying and discussing the disparity between senior and junior officers in terms of generational differences. Officers from the Baby Boom Generation think and perceive things differently than officers from …,https://books.google.com/books?hl=en&lr=&id=jlnzXGFYBawC&oi=fnd&pg=PA1&dq=boomer&ots=6zwcUXXFSx&sig=QeObBcz0gqHfl6MjsF3md9jS6NQ,101,10,"https://scholar.google.com/scholar?q=related:s3XpNCko4-wJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"Boomer diversity and well-being: Race, ethnicity, and gender","J MUTCHLER, J BURR - Boomer Bust? Economic and Political …, 2008 - books.google.com","B etween 1946 and 1964, 76 million children were born in the United States as part of an upswing in births that began at the end of World War II and continued for almost twenty years (National Center for Health Statistics 2002). The ''baby boom''cohort is now firmly embedded …",https://books.google.com/books?hl=en&lr=&id=hKNzCgAAQBAJ&oi=fnd&pg=PA23&dq=boomer&ots=YUlHALsHTk&sig=EVBX3d6rNwrTkgHJYYimQI7XYbQ,11,2,"https://scholar.google.com/scholar?q=related:m1RYmHI5DdgJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[PDF][PDF] Boomer havens and young adult magnets,"T Baby - American Demographics, 2001 - frey-demographer.org","* For the purpose of this article, Baby Boomers are defined as those born between 1946 and 1965. Post-Boomer/Young Adults are defined as those born between 1966 and 1980 (ages 20 to 34 in 2000). These breakdowns differ from the official American Demographics …",http://www.frey-demographer.org/briefs/B-2001-6_BoomerHavens.pdf,7,4,"https://scholar.google.com/scholar?q=related:1eDGsGSzAmoJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Employment biographies of the German baby boomer generation,"A Tisch, S Tophoven - Schmollers Jahrbuch, 2012 - search.proquest.com","Given the ageing and shrinking labor force, the baby boom cohorts are of increasing importance to the German labor market. This article presents a comprehensive analysis of the work trajectories of two illustrative baby boom cohorts, born in 1959 and 1965. We make …",http://search.proquest.com/openview/c7c6ae5ef0ef2283d783d6f606fd1f0c/1?pq-origsite=gscholar&cbl=2041889,12,4,"https://scholar.google.com/scholar?q=related:Gife2q_tIV0J:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Midlife and menopause: Uncharted territories for baby boomer women,"JG Gonyea - Generations, 1998 - questia.com","The baby boomer generation is now facing middle age. Every fifty seconds another fifty baby boomers celebrate their 50th birthday. To a large extent, this generation has rejected many of the images of middle and old age and sought to redefine these later life stages. Given …",https://www.questia.com/library/journal/1P3-28428874/midlife-and-menopause-uncharted-territories-for-baby,10,3,"https://scholar.google.com/scholar?q=related:xwTW9G5wu1wJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Changing characteristics of drug use between two older adult cohorts: Small sample speculations on baby boomer trends to come,"K Lay, LJ King, J Rangel - Journal of Social Work Practice in the …, 2008 - Taylor & Francis",This retrospective chart review of 2 cohorts of individuals 55 years and older (n= 116) suggests that the aging population entering addiction treatment today may no longer be a homogenous group of mostly alcohol-dependent individuals. Whereas the 1992 cohort is …,https://www.tandfonline.com/doi/abs/10.1080/15332560802112078,18,,"https://scholar.google.com/scholar?q=related:qQquymP1X38J:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Work commitments of Baby Boomers and Gen-Xers in the IT profession: Generational differences or myth?,"JB Davis, SD Pawlowski, A Houston - Journal of Computer …, 2006 - Taylor & Francis",The study presented in this paper examines generational (age-cohort) differences in the work commitments of Baby Boomer (born between 1946 and 1962) and Gen-X (born between 1963 and 1981) information technology (IT) professionals. Data were obtained …,https://www.tandfonline.com/doi/abs/10.1080/08874417.2006.11645897,177,3,"https://scholar.google.com/scholar?q=related:J8bvKcGezoQJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Comparison of attitudes between Generation X and Baby Boomer veterinary faculty and residents,"LM Freeman, CA Trower, RJB Tan… - Journal of veterinary …, 2009 - jvme.utpjournals.press",Understanding the characteristics and preferences of the different generations in the veterinary workforce is important if we are to help optimize current and future veterinary schools and teaching hospitals. The purpose of this study was to compare the attitudes of …,https://jvme.utpjournals.press/doi/abs/10.3138/jvme.36.1.128,13,8,"https://scholar.google.com/scholar?q=related:rz-EUzVM8UQJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"[PDF][PDF] How Millennial, Generation X, and Baby Boomer wine consumers evaluate wine labels","M McGarry Wolf, SM Thomas - Journal of Food Distribution …, 2007 - ageconsearch.umn.edu","Today's wine industry is changing in ways that are apparent to wine consumers of every age. Wine labels are changing, as well as the marketing strategies for all wine products. For most of the industry, the target market has been the Baby Boomer generation. However, a …",https://ageconsearch.umn.edu/record/162281/files/_25_%20Volume%2038_%20No.%201%20Wolf_%20Thomas.pdf,14,5,"https://scholar.google.com/scholar?q=related:YyTbxZi3oV0J:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"[PDF][PDF] Benthic macroinvertebrates of Boomer Lake, Payne County, Oklahoma","RE Craven, BE Brown - Southwest Natur, 1969 - ephemeroptera-galactica.com","A study of benthic macroinvertebrates in a 102 ha lake was conducted from March, 1966 through February, 1967. Of the thirty taxa collected, seven (Chaoborus punctipennis (Say), Caenis, Sialis, Hexagenia, Hyalella azteca (Saussure), Branchiura sowerbyi Beddard, and …",http://www.ephemeroptera-galactica.com/pubs/pub_c/pubcravenr1969p221.pdf,10,2,"https://scholar.google.com/scholar?q=related:sm49KvSSVjYJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
The baby boomer market maven in the United Kingdom: an experienced diffuser of marketplace information,"L Sudbury-Riley - Journal of Marketing Management, 2016 - Taylor & Francis","This study identifies and profiles market mavens among the baby boomer generation in the United Kingdom. Boomers are an important market segment, yet most advertising targets younger audiences, making word-of-mouth communications crucial among this older cohort …",https://www.tandfonline.com/doi/abs/10.1080/0267257X.2015.1129985,17,4,"https://scholar.google.com/scholar?q=related:Qs-8EFpAygsJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[BOOK][B] What will happen to financial markets when the baby boomers retire?,MR Brooks - 2000 - books.google.com,This paper explores whether changes in the age distribution have significant effects on financial markets that are rational and forward-looking. It presents an overlapping generations model in which agents make a portfolio decision over stocks and bonds when …,https://books.google.com/books?hl=en&lr=&id=Baz6c-EAYvgC&oi=fnd&pg=PA4&dq=boomer&ots=5DK5oRZu0D&sig=WSUxQnxHpqeQWBUYI--EIH9U7W8,188,11,"https://scholar.google.com/scholar?q=related:8aJzv-4pWvcJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[HTML][HTML] Implementation of baby boomer hepatitis C screening and linking to care in gastroenterology practices: a multi-center pilot study,"ZM Younossi, LL LaLuna… - BMC …, 2016 - bmcgastroenterol.biomedcentral …","Estimates suggest that only 20% of HCV-infected patients have been identified and< 10% treated. However, baby boomers (1945-1965) are identified as having a higher prevalence of HCV which has led the Centers for Disease Control and Prevention to make screening …",https://bmcgastroenterol.biomedcentral.com/articles/10.1186/s12876-016-0438-z,20,13,"https://scholar.google.com/scholar?q=related:MBOGW-rB1AQJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[BOOK][B] Spiritual marketplace: Baby boomers and the remaking of American religion,WC Roof - 2001 - books.google.com,"In large chain bookstores the"" religion"" section is gone and in its place is an expanding number of topics including angels, Sufism, journey, recovery, meditation, magic, inspiration, Judaica, astrology, gurus, Bible, prophesy, evangelicalism, Mary, Buddhism, Catholicism …",https://books.google.com/books?hl=en&lr=&id=-o5QEchPo8AC&oi=fnd&pg=PP1&dq=boomer&ots=FsXOQU5S7c&sig=ielmdr_1QCuS2mMWkRFYNCZq2uY,1873,2,"https://scholar.google.com/scholar?q=related:KIXHD_PZELYJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"Contrasting burnout, turnover intention, control, value congruence and knowledge sharing between Baby Boomers and Generation X","MP Leiter, NJ Jackson… - Journal of nursing …, 2009 - Wiley Online Library",Aim (s) This paper examines the contrasting role of work values for nurses from two generations: Baby Boomers and Generation X. Background Differences among nurses regarding core values pertaining to their work has a potential to influence the quality of their …,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2834.2008.00884.x,188,6,"https://scholar.google.com/scholar?q=related:owYDPqPucggJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"Selling to Generation Y, Virtual Workers, and Boomer Grandparents: Tools for Tracking Marketing Trends","D Zabel - Reference & User Services Quarterly, 1999 - JSTOR","I have chosen the topic of market ing for my first column. For almost fifteen years; I have helped stu dents of Perm State University's School of Hotel; Restaurant, and Recreation Management track trends and develop marketing strategies for new products and services …",https://www.jstor.org/stable/20863668,13,4,"https://scholar.google.com/scholar?q=related:rj_HZEggWsEJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Understanding baby boomers' retirement prospects,"B Butrica, HM Iams, KE Smith - 2006 - repository.upenn.edu",Abstract This chapter assesses Baby Boom retirement prospects by comparing the outlook for this cohort with experiences of previous generations. We simulate the impact of aging using the Social Security's Model of Income in the Near Term and project retirement incomes …,https://repository.upenn.edu/prc_papers/363/,13,,"https://scholar.google.com/scholar?q=related:L-EkdZxM2F4J:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Hearing loss and cognition in the Busselton Baby Boomer cohort: an epidemiological study,"RS Bucks, PD Dunlop, DS Taljaard… - The …, 2016 - Wiley Online Library","Objectives/Hypothesis To determine the relationship between peripheral hearing loss (HL) in baby boomers (better‐ear measure) and cognitive function, taking into account the impact of depression or cognitive reserve on this relationship and exploring binaural hearing. Study …",https://onlinelibrary.wiley.com/doi/abs/10.1002/lary.25896,14,10,"https://scholar.google.com/scholar?q=related:aEpit4KeXGoJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Unmarried boomers confront old age: A national portrait,"IF Lin, SL Brown - The Gerontologist, 2012 - academic.oup.com","Abstract Purpose of the Study: Our study provides a national portrait of the Baby Boom generation, paying particular attention to the heterogeneity among unmarried Boomers and whether it operates similarly among women versus men. Design and Methods: We used the …",https://academic.oup.com/gerontologist/article-abstract/52/2/153/615805,125,12,"https://scholar.google.com/scholar?q=related:CeX0uHYI3_gJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Counterculture or continuity? Competing influences on baby boomers' religious orientations and participation,"DE Sherkat - Social Forces, 1998 - academic.oup.com","The presumed attractiveness of countercultural orientations to young, educated, baby boomers led many scholars to proclaim the 1960s counterculture as the driving force behind declining religious participation, and a supposed growing distaste for biblical religion. In …",https://academic.oup.com/sf/article-abstract/76/3/1087/2233682,200,11,"https://scholar.google.com/scholar?q=related:lNtWIs7kafcJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"[CITATION][C] The Baby Boomers: Growing up in Australia in the 1940s, 50s and 60s","H Townsend, D Kirby - 1988 - Simon & Schuster Brookvale",,,27,,"https://scholar.google.com/scholar?q=related:XodVtBdTxC4J:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"Baby boomers and busters: an exploratory investigation of attitudes toward marketing, advertising and consumerism","JA Roberts, C Manolis - Journal of Consumer Marketing, 2000 - emeraldinsight.com",The purpose of the current study was to compare and contrast various marketing-and consumer-related attitudes and behavior across the baby boomer (those born between 1946-1964) and baby buster (those born between 1965-1976) generations. Study results suggest …,https://www.emeraldinsight.com/doi/abs/10.1108/07363760010349911,167,3,"https://scholar.google.com/scholar?q=related:PGzY-kXnA_QJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[PDF][PDF] Millennials vs. baby boomers: Who would you rather hire,"D Schawbel - Time Magazine, 2012 - bcit.cc","A new poll reveals just how different Gen Y workers are from their Baby Boomer forefathers. Among other things, millennials (those in their 20s and early 30s) want flexible work schedules, more “me time” on the job, and nearly nonstop feedback and career advice from …",https://www.bcit.cc/cms/lib/NJ03000372/Centricity/Domain/701/Baby%20Boomers%20Millennials%20Clash%20in%20Workplaces%20Around%20US%20TIME.com.pdf,39,,"https://scholar.google.com/scholar?q=related:MlzPLw2do1QJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[PDF][PDF] Boomers and Seniors in the Suburbs,"WH Frey - Brooking Institution Center on Urban and Metropolitan …, 2003 - Citeseer","Back in the 1960s, Baby Boomers embraced the slo-gan “don't trust anyone over 30” as many of them passed through their college years. More than three decades later, Census 2000 underscored that this generation encompassed the bulk of America's 35-to-54-year-old …",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.204.4790&rep=rep1&type=pdf,73,5,"https://scholar.google.com/scholar?q=related:n1RhGjdYm34J:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"Generations do differ: Best practices in leading traditionalists, boomers, and generations X, Y, and Z","T Wiedmer - Delta Kappa Gamma Bulletin, 2015 - search.proquest.com","The author stresses the importance and the challenges of working with a multigenerational workforce of employees from the five generations: Traditionalists, Baby Boomers, and Generations X, Y, and Z. Drawing on literature, she identifies specific attributes for each of …",http://search.proquest.com/openview/712ca7200529c4e38d54bde5a0a7257f/1?pq-origsite=gscholar&cbl=47978,180,2,"https://scholar.google.com/scholar?q=related:lJ7VJlWHRJQJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Market analysis of fit preferences of female boomers,"R Howarton, B Lee - Journal of Fashion Marketing and …, 2010 - emeraldinsight.com",Purpose–The purpose of this paper is to disseminate research findings that compared attitudes regarding apparel and fit preferences as well as actual buying behaviors for 229 female baby boomers employed at a midwestern university. Design/methodology/approach …,https://www.emeraldinsight.com/doi/abs/10.1108/13612021011046075,56,3,"https://scholar.google.com/scholar?q=related:i-SC3IrufYgJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
